"","X","type","Paying","date","amount","purpose_scrubbed","Paid","purpose","property","city","state","year","month","latlong.x","latlong.y"
"120",120,"FEC","Donald J. Trump for President, Inc.","2016-01-12",240,"Rent","Trump Restaurants LLC","RENT AND UTILITIES","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"121",121,"FEC","Donald J. Trump for President, Inc.","2016-01-14",2693.63,"Payroll","Trump Tower Commercial LLC","IN-KIND: PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"122",122,"FEC","Donald J. Trump for President, Inc.","2016-01-21",2692.72,"Payroll","Trump Tower Commercial LLC","IN-KIND: PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"123",123,"FEC","Donald J. Trump for President, Inc.","2016-01-23",2371.78,"Payroll","Trump Payroll Corp","IN-KIND: PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"124",124,"FEC","Donald J. Trump for President, Inc.","2016-01-26",25927.19,"Events","Trump Golf Club Miami","FACILITY RENTAL","TRUMP NATIONAL DORAL","Miami","FL",2016,NA,NA,"25.818840:-80.343826"
"125",125,"FEC","Donald J. Trump for President, Inc.","2016-01-28",2679.33,"Payroll","Trump Tower Commercial LLC","IN-KIND: PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"126",126,"FEC","Donald J. Trump for President, Inc.","2016-01-30",35457.5,"Rent","Trump Tower Commercial LLC","RENT AND UTILITIES","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"127",127,"FEC","Donald J. Trump for President, Inc.","2016-01-31",537436,"Travel","Tag Air, Inc.","TRAVEL: AIR","TAG AIR, INC.","West Palm Beach","FL",2016,NA,NA,"29.495040:-95.099979"
"128",128,"FEC","Donald J. Trump for President, Inc.","2016-02-01",6000,"Rent","Trump CPS LLC","IN-KIND: RENT","TRUMP CPS LLC","New York","NY",2016,NA,NA,"40.765557:-73.976590"
"129",129,"FEC","Donald J. Trump for President, Inc.","2016-02-01",9000,"Rent","Trump Plaza LLC","IN-KIND: RENT","TRUMP PLAZA LLC","New York","NY",2016,NA,NA,"40.763234:-73.970105"
"130",130,"FEC","Donald J. Trump for President, Inc.","2016-02-04",2587.23,"Payroll","Trump Tower Commercial LLC","IN-KIND: PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"131",131,"FEC","Donald J. Trump for President, Inc.","2016-02-10",3360.15,"Payroll","Trump Payroll Corp","IN-KIND: PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"132",132,"FEC","Donald J. Trump for President, Inc.","2016-02-11",2587.23,"Payroll","Trump Tower Commercial LLC","IN-KIND: PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"133",133,"FEC","Donald J. Trump for President, Inc.","2016-02-18",2587.24,"Payroll","Trump Tower Commercial LLC","IN-KIND: PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"134",134,"FEC","Donald J. Trump for President, Inc.","2016-02-24",3347.59,"Payroll","Trump Payroll Corp","IN-KIND: PRE-PAID PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"135",135,"FEC","Donald J. Trump for President, Inc.","2016-02-24",641840,"Travel","Tag Air, Inc.","TRAVEL: AIR","TAG AIR, INC.","West Palm Beach","FL",2016,NA,NA,"29.495040:-95.099979"
"136",136,"FEC","Donald J. Trump for President, Inc.","2016-02-25",2587.24,"Payroll","Trump Tower Commercial LLC","IN-KIND: PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"137",137,"FEC","Donald J. Trump for President, Inc.","2016-03-01",6000,"Rent","Trump CPS LLC","IN-KIND: RENT","TRUMP CPS LLC","New York","NY",2016,NA,NA,"40.765557:-73.976590"
"138",138,"FEC","Donald J. Trump for President, Inc.","2016-03-01",9000,"Rent","Trump Plaza LLC","IN-KIND: RENT","TRUMP PLAZA LLC","New York","NY",2016,NA,NA,"40.763234:-73.970105"
"139",139,"FEC","Donald J. Trump for President, Inc.","2016-03-03",2536.33,"Payroll","Trump Tower Commercial LLC","IN-KIND: PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"140",140,"FEC","Donald J. Trump for President, Inc.","2016-03-05",3706.98,"Payroll","Trump Payroll Corp","IN-KIND: PRE-PAID PAYROLL (SEE MEMOS BELOW)","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"141",141,"FEC","Donald J. Trump for President, Inc.","2016-03-07",2452.45,"Lodging","Trump Hotel Chicago","TRAVEL: LODGING","TRUMP INTERNATIONAL HOTEL AND TOWER CHICAGO","Chicago","IL",2016,NA,NA,"41.889019:-87.626549"
"142",142,"FEC","Donald J. Trump for President, Inc.","2016-03-10",2536.33,"Payroll","Trump Tower Commercial LLC","IN-KIND: PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"143",143,"FEC","Donald J. Trump for President, Inc.","2016-03-10",35457.5,"Rent","Trump Tower Commercial LLC","RENT AND UTILITIES","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"144",144,"FEC","Donald J. Trump for President, Inc.","2016-03-17",2536.33,"Payroll","Trump Tower Commercial LLC","IN-KIND: PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"145",145,"FEC","Donald J. Trump for President, Inc.","2016-03-18",399.73,"Food","Trump Ice LLC","MEETING EXPENSE: BEVERAGES","TRUMP ICE LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"146",146,"FEC","Donald J. Trump for President, Inc.","2016-03-19",3706.98,"Payroll","Trump Payroll Corp","IN-KIND: PRE-PAID PAYROLL (SEE MEMOS BELOW)","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"147",147,"FEC","Donald J. Trump for President, Inc.","2016-03-22",1844.2,"Events","Trump Hotel NY","FACILITY RENTAL/CATERING [CONSTANTIN: SB23455490]","Trump International Hotel","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"148",148,"FEC","Donald J. Trump for President, Inc.","2016-03-24",2536.34,"Payroll","Trump Tower Commercial LLC","IN-KIND: PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"149",149,"FEC","Donald J. Trump for President, Inc.","2016-03-24",476426,"Travel","Tag Air, Inc.","TRAVEL: AIR","TAG AIR, INC.","West Palm Beach","FL",2016,NA,NA,"29.495040:-95.099979"
"150",150,"FEC","Donald J. Trump for President, Inc.","2016-03-29",1053,"Events","Eric Trump Wine Manufacturing, LLC","FACILITY RENTAL/CATERING","ERIC TRUMP WINE MANUFACTURING, LLC","Charlottesville","VA",2016,NA,NA,"38.131347:-78.500322"
"151",151,"FEC","Donald J. Trump for President, Inc.","2016-03-29",1000,"Rent","Trump Restaurants LLC","RENT AND UTILITIES","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"152",152,"FEC","Donald J. Trump for President, Inc.","2016-03-29",35457.5,"Rent","Trump Tower Commercial LLC","RENT AND UTILITIES","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"153",153,"FEC","Donald J. Trump for President, Inc.","2016-03-31",2536.34,"Payroll","Trump Tower Commercial LLC","IN-KIND: PRE-PAID PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"154",154,"FEC","Donald J. Trump for President, Inc.","2016-04-01",6000,"Rent","Trump CPS LLC","RENT","TRUMP CPS LLC","New York","NY",2016,NA,NA,"40.765557:-73.976590"
"155",155,"FEC","Donald J. Trump for President, Inc.","2016-04-01",9000,"Rent","Trump Plaza LLC","RENT","TRUMP PLAZA LLC","New York","NY",2016,NA,NA,"40.763234:-73.970105"
"156",156,"FEC","Donald J. Trump for President, Inc.","2016-04-06",3706.98,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"157",157,"FEC","Donald J. Trump for President, Inc.","2016-04-07",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"158",158,"FEC","Donald J. Trump for President, Inc.","2016-04-14",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"159",159,"FEC","Donald J. Trump for President, Inc.","2016-04-16",3706.98,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"160",160,"FEC","Donald J. Trump for President, Inc.","2016-04-21",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"161",161,"FEC","Donald J. Trump for President, Inc.","2016-04-25",8366.14,"Lodging","Trump Hotel Chicago","TRAVEL: LODGING","TRUMP INTERNATIONAL HOTEL AND TOWER CHICAGO","Chicago","IL",2016,NA,NA,"41.889019:-87.626549"
"162",162,"FEC","Donald J. Trump for President, Inc.","2016-04-28",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"163",163,"FEC","Donald J. Trump for President, Inc.","2016-04-29",585470,"Travel","Tag Air, Inc.","TRAVEL: AIR","TAG AIR, INC.","West Palm Beach","FL",2016,NA,NA,"29.495040:-95.099979"
"164",164,"FEC","Donald J. Trump for President, Inc.","2016-04-30",1000,"Rent","Trump Restaurants LLC","RENT AND UTILITIES","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"165",165,"FEC","Donald J. Trump for President, Inc.","2016-04-30",35457.5,"Rent","Trump Tower Commercial LLC","RENT AND UTILITIES","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"166",166,"FEC","Donald J. Trump for President, Inc.","2016-05-01",5297.45,"Payroll","Trump Payroll Corp","IN-KIND: PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"167",167,"FEC","Donald J. Trump for President, Inc.","2016-05-01",6000,"Rent","Trump CPS LLC","RENT","TRUMP CPS LLC","New York","NY",2016,NA,NA,"40.765557:-73.976590"
"168",168,"FEC","Donald J. Trump for President, Inc.","2016-05-01",9000,"Rent","Trump Plaza LLC","RENT","TRUMP PLAZA LLC","New York","NY",2016,NA,NA,"40.763234:-73.970105"
"169",169,"FEC","Donald J. Trump for President, Inc.","2016-05-04",1287.92,"Events","Eric Trump Wine Manufacturing, LLC","FACILITY RENTAL/CATERING","ERIC TRUMP WINE MANUFACTURING, LLC","Charlottesville","VA",2016,NA,NA,"38.131347:-78.500322"
"170",170,"FEC","Donald J. Trump for President, Inc.","2016-05-04",983.68,"Lodging","Trump Virginia Acquisitions, LLC","TRAVEL: LODGING","TRUMP VIRGINIA ACQUISITIONS, LLC","Charlottesville","VA",2016,NA,NA,"38.030796:-78.441235"
"171",171,"FEC","Donald J. Trump for President, Inc.","2016-05-05",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"172",172,"FEC","Donald J. Trump for President, Inc.","2016-05-12",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"173",173,"FEC","Donald J. Trump for President, Inc.","2016-05-14",3706.98,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"174",174,"FEC","Donald J. Trump for President, Inc.","2016-05-16",2650.66,"Events","Eric Trump Wine Manufacturing, LLC","FACILITY RENTAL/CATERING","ERIC TRUMP WINE MANUFACTURING, LLC","Charlottesville","VA",2016,NA,NA,"38.131347:-78.500322"
"175",175,"FEC","Donald J. Trump for President, Inc.","2016-05-18",35845,"Events","Trump Golf Club Jupiter","FACILITY RENTAL/CATERING","TRUMP NATIONAL GOLF CLUB","Jupiter","FL",2016,NA,NA,"26.890032:-80.089848"
"176",176,"FEC","Donald J. Trump for President, Inc.","2016-05-18",29715.42,"Events","Trump Golf Club Palm Beach","FACILITY RENTAL/CATERING","TRUMP INTERNATIONAL GOLF CLUB, L.C.","West Palm Beach","FL",2016,NA,NA,"26.665794:-80.061525"
"177",177,"FEC","Donald J. Trump for President, Inc.","2016-05-18",125080.31,"Rent","Trump Restaurants LLC","RENT AND UTILITIES","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"178",178,"FEC","Donald J. Trump for President, Inc.","2016-05-19",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"179",179,"FEC","Donald J. Trump for President, Inc.","2016-05-25",349540,"Travel","Tag Air, Inc.","TRAVEL: AIR","TAG AIR, INC.","West Palm Beach","FL",2016,NA,NA,"29.495040:-95.099979"
"180",180,"FEC","Donald J. Trump for President, Inc.","2016-05-26",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"181",181,"FEC","Donald J. Trump for President, Inc.","2016-05-28",11023.12,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"182",182,"FEC","Donald J. Trump for President, Inc.","2016-05-31",72800,"Rent","Trump Tower Commercial LLC","RENT AND UTILITIES","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"183",183,"FEC","Donald J. Trump for President, Inc.","2016-06-01",6000,"Rent","Trump CPS LLC","RENT","TRUMP CPS LLC","New York","NY",2016,NA,NA,"40.765557:-73.976590"
"184",184,"FEC","Donald J. Trump for President, Inc.","2016-06-01",9000,"Rent","Trump Plaza LLC","RENT","TRUMP PLAZA LLC","New York","NY",2016,NA,NA,"40.763234:-73.970105"
"185",185,"FEC","Donald J. Trump for President, Inc.","2016-06-02",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"186",186,"FEC","Donald J. Trump for President, Inc.","2016-06-08",428.53,"Other","Trump Ice LLC","OFFICE SUPPLIES","TRUMP ICE LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"187",187,"FEC","Donald J. Trump for President, Inc.","2016-06-09",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"188",188,"FEC","Donald J. Trump for President, Inc.","2016-06-09",1000,"Rent","Trump Restaurants LLC","RENT AND UTILITIES","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"189",189,"FEC","Donald J. Trump for President, Inc.","2016-06-09",110684.17,"Rent","Trump Tower Commercial LLC","RENT AND UTILITIES","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"190",190,"FEC","Donald J. Trump for President, Inc.","2016-06-11",9651.47,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"191",191,"FEC","Donald J. Trump for President, Inc.","2016-06-16",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"192",192,"FEC","Donald J. Trump for President, Inc.","2016-06-23",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"193",193,"FEC","Donald J. Trump for President, Inc.","2016-06-25",9106.13,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"194",194,"FEC","Donald J. Trump for President, Inc.","2016-06-27",398.53,"Food","Trump Restaurants LLC","MEETING EXPENSE: MEALS [AMEX: SB23.2140641]","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"195",195,"FEC","Donald J. Trump for President, Inc.","2016-06-27",671.11,"Lodging","Trump Soho NY","TRAVEL: LODGING [AMEX: SB23.1615120]","TRUMP HOTEL SOHO","New York","NY",2016,NA,NA,"40.725544:-74.005272"
"196",196,"FEC","Donald J. Trump for President, Inc.","2016-06-27",466464,"Travel","Tag Air, Inc.","TRAVEL: AIR","TAG AIR, INC.","West Palm Beach","FL",2016,NA,NA,"29.495040:-95.099979"
"197",197,"FEC","Donald J. Trump for President, Inc.","2016-06-30",21330,"Events","Trump Golf Club Bedminster","FACILITY RENTAL/CATERING","TRUMP NATIONAL GOLF CLUB","Bedminster","NJ",2016,NA,NA,"40.653775:-74.697349"
"198",198,"FEC","Donald J. Trump for President, Inc.","2016-06-30",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"199",199,"FEC","Donald J. Trump for President, Inc.","2016-07-01",9000,"Rent","Trump Plaza LLC","RENT","TRUMP PLAZA LLC","New York","NY",2016,NA,NA,"40.763234:-73.970105"
"200",200,"FEC","Donald J. Trump for President, Inc.","2016-07-07",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"201",201,"FEC","Donald J. Trump for President, Inc.","2016-07-09",1168.54,"Lodging","Trump Golf Club Miami","TRAVEL: LODGING [AMEX: SB23.2140641]","TRUMP NATIONAL DORAL","Miami","FL",2016,NA,NA,"25.818840:-80.343826"
"202",202,"FEC","Donald J. Trump for President, Inc.","2016-07-09",3549.71,"Lodging","Trump Golf Club Miami","TRAVEL: LODGING [AMEX: SB23.2140641]","TRUMP NATIONAL DORAL","Miami","FL",2016,NA,NA,"25.818840:-80.343826"
"203",203,"FEC","Donald J. Trump for President, Inc.","2016-07-09",9752.12,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"204",204,"FEC","Donald J. Trump for President, Inc.","2016-07-10",538.73,"Food","Trump Restaurants LLC","MEETING EXPENSE: MEALS [AMEX: SB23.2140641]","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"205",205,"FEC","Donald J. Trump for President, Inc.","2016-07-10",1000,"Rent","Trump Restaurants LLC","RENT","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"206",206,"FEC","Donald J. Trump for President, Inc.","2016-07-10",169758.33,"Rent","Trump Tower Commercial LLC","RENT","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"207",207,"FEC","Donald J. Trump for President, Inc.","2016-07-13",1936.98,"Events","Trump Hotel NY","FACILITY RENTAL","TRUMP INTERNATIONAL HOTEL AND TOWER","New York","NY",2016,NA,NA,"40.769112:-73.981621"
"208",208,"FEC","Donald J. Trump for President, Inc.","2016-07-13",216,"Lodging","Trump Golf Club Miami","TRAVEL: LODGING [AMEX: SB23.2140641]","TRUMP NATIONAL DORAL","Miami","FL",2016,NA,NA,"25.818840:-80.343826"
"209",209,"FEC","Donald J. Trump for President, Inc.","2016-07-13",495070,"Travel","Tag Air, Inc.","TRAVEL: AIR","TAG AIR, INC.","West Palm Beach","FL",2016,NA,NA,"29.495040:-95.099979"
"210",210,"FEC","Donald J. Trump for President, Inc.","2016-07-14",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"211",211,"FEC","Donald J. Trump for President, Inc.","2016-07-19",306.67,"Food","Trump Restaurants LLC","MEETING EXPENSE: MEALS [AMEX: SB23.2140641]","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"212",212,"FEC","Donald J. Trump for President, Inc.","2016-07-21",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"213",213,"FEC","Donald J. Trump for President, Inc.","2016-07-23",23775.5,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"214",214,"FEC","Donald J. Trump for President, Inc.","2016-07-28",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"215",215,"FEC","Donald J. Trump for President, Inc.","2016-07-29",3596.01,"Events","Trump Golf Club Miami","EVENT STAGING EXPENSE","TRUMP NATIONAL DORAL","Miami","FL",2016,NA,NA,"25.818840:-80.343826"
"216",216,"FEC","Donald J. Trump for President, Inc.","2016-07-29",48239.77,"Events","Trump Golf Club Westchester","FACILITY RENTAL AND CATERING","TRUMP NATIONAL GOLF CLUB - WESTCHESTER","Briarcliff Manor","NY",2016,NA,NA,"41.146065:-73.829630"
"217",217,"FEC","Donald J. Trump for President, Inc.","2016-07-29",428.53,"Other","Trump Ice LLC","OFFICE SUPPLIES","TRUMP ICE LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"218",218,"FEC","Donald J. Trump for President, Inc.","2016-07-29",3.27,"Other","Trump Restaurants LLC","OFFICE SUPPLIES","TRUMP RESTAURANTS LLC","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"219",219,"FEC","Donald J. Trump for President, Inc.","2016-08-01",9000,"Rent","Trump Plaza LLC","RENT","TRUMP PLAZA LLC","New York","NY",2016,NA,NA,"40.763234:-73.970105"
"220",220,"FEC","Donald J. Trump for President, Inc.","2016-08-04",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"221",221,"FEC","Donald J. Trump for President, Inc.","2016-08-06",10418.81,"Payroll","Trump Payroll Corp","PAYROLL","TRUMP PAYROLL CORP","New York","NY",2016,NA,NA,"40.762459:-73.973869"
"222",222,"FEC","Donald J. Trump for President, Inc.","2016-08-10",169758.33,"Rent","Trump Tower Commercial LLC","RENT","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
"223",223,"FEC","Donald J. Trump for President, Inc.","2016-08-11",2574.43,"Payroll","Trump Tower Commercial LLC","PAYROLL","TRUMP TOWER COMMERCIAL LLC","Hicksville","NY",2016,NA,NA,"40.762459:-73.973869"
